# [fit_config]
# mode = discrete
# source = FE040723.ws5
# center_internal = 256.2628274
# vmax = 11.8788
# norm_factor = 883263.5302

# [spectrum]
# velocidad_mm/s	datos_norm	ajuste_norm	residuo	cuentas_dobladas
-11.87880000	1.00014918	1.00053423	-0.00038505	883395.295298
-11.78563294	0.99951118	1.00051835	-0.00100717	882831.774123
-11.69246588	1.00007377	1.00050156	-0.00042780	883328.686207
-11.59929882	1.00019741	1.00048379	-0.00028638	883437.895430
-11.50613176	1.00042428	1.00046494	-0.00004066	883638.278987
-11.41296471	1.00033658	1.00044492	-0.00010833	883560.821832
-11.31979765	0.99993250	1.00042362	-0.00049112	883203.909940
-11.22663059	1.00001682	1.00040092	-0.00038410	883278.389686
-11.13346353	0.99952043	1.00037670	-0.00085627	882839.940611
-11.04029647	0.99889311	1.00035079	-0.00145768	882285.856872
-10.94712941	1.00014204	1.00032302	-0.00018098	883388.993143
-10.85396235	0.99994081	1.00029320	-0.00035239	883211.247588
-10.76079529	1.00011007	1.00026111	-0.00015104	883360.747740
-10.66762824	0.99967798	1.00022649	-0.00054851	882979.100668
-10.57446118	1.00071865	1.00018904	0.00052961	883898.286297
-10.48129412	1.00029074	1.00014844	0.00014230	883520.330104
-10.38812706	0.99930206	1.00010430	-0.00080224	882647.064790
-10.29496000	0.99873250	1.00005616	-0.00132366	882143.994984
-10.20179294	0.99960869	1.00000349	-0.00039480	882917.901325
-10.10862588	1.00064283	0.99994567	0.00069716	883831.319152
-10.01545882	1.00045691	0.99988198	0.00057493	883667.099404
-9.92229176	1.00091450	0.99981153	0.00110297	884071.278066
-9.82912471	0.99916181	0.99973329	-0.00057148	882523.186633
-9.73595765	1.00001092	0.99964600	0.00036492	883273.177893
-9.64279059	0.99963459	0.99954813	0.00008646	882940.774507
-9.54962353	0.99931059	0.99943781	-0.00012722	882654.597796
-9.45645647	1.00047828	0.99931273	0.00116554	883685.973576
-9.36328941	0.99984445	0.99917002	0.00067443	883126.140490
-9.27012235	0.99930174	0.99900605	0.00029569	882646.784923
-9.17695529	0.99998908	0.99881618	0.00117290	883253.882485
-9.08378824	0.99925519	0.99859444	0.00066075	882605.669937
-8.99062118	0.99932530	0.99833301	0.00099229	882667.594154
-8.89745412	0.99872839	0.99802148	0.00070691	882140.361503
-8.80428706	0.99862461	0.99764578	0.00097883	882048.694973
-8.71112000	0.99883943	0.99718654	0.00165288	882238.436859
-8.61795294	0.99925204	0.99661653	0.00263551	882602.888765
-8.52478588	0.99832389	0.99589660	0.00242729	881783.083244
-8.43161882	0.99793759	0.99496911	0.00296847	881441.877813
-8.33845176	0.99710836	0.99374705	0.00336131	880709.453170
-8.24528471	0.99499004	0.99209572	0.00289432	878838.419477
-8.15211765	0.99310347	0.98980238	0.00330109	877172.076195
-8.05895059	0.98770293	0.98652915	0.00117377	872401.975074
-7.96578353	0.98211844	0.98175877	0.00035967	867469.396611
-7.87261647	0.97375777	0.97482594	-0.00106818	860084.721356
-7.77944941	0.96386592	0.96544096	-0.00157504	851347.613227
-7.68628235	0.95706816	0.95556474	0.00150343	845343.403743
-7.59311529	0.95585393	0.95108304	0.00477089	844270.916110
-7.49994824	0.95925010	0.95568886	0.00356124	847270.633867
-7.40678118	0.96541659	0.96459611	0.00082047	852717.262786
-7.31361412	0.97079360	0.97232491	-0.00153131	857466.579685
-7.22044706	0.97559696	0.97737769	-0.00178074	861709.212054
-7.12728000	0.98017469	0.98015482	0.00001987	865752.556284
-7.03411294	0.98186488	0.98137090	0.00049398	867245.437588
-6.94094588	0.98374630	0.98172855	0.00201775	868907.227829
-6.84777882	0.98584439	0.98193988	0.00390451	870760.398068
-6.75461176	0.98547535	0.98262554	0.00284981	870434.436708
-6.66144471	0.98697198	0.98404478	0.00292720	871756.357174
-6.56827765	0.98877386	0.98599932	0.00277453	873347.887693
-6.47511059	0.99033904	0.98808952	0.00224951	874730.352159
-6.38194353	0.99060753	0.99000712	0.00060041	874967.504672
