# velocidad_mm/s	Normos_PLT_exp	Doblado_256p5_norm	diferencia	Doblado_256p5_cuentas
-11.87880000	0.999818	0.999817	-0.00000057	419572.500000
-11.78560000	1.000161	1.000161	-0.00000043	419716.500000
-11.69250000	1.001675	1.001675	-0.00000007	420352.000000
-11.59930000	0.999478	0.999478	-0.00000014	419430.000000
-11.50610000	0.998777	0.998776	-0.00000092	419135.500000
-11.41300000	1.000227	1.000226	-0.00000090	419744.000000
-11.31980000	1.000737	1.000736	-0.00000095	419958.000000
-11.22660000	0.999887	0.999887	-0.00000047	419601.500000
-11.13350000	1.000274	1.000274	-0.00000024	419764.000000
-11.04030000	1.000828	1.000828	-0.00000021	419996.500000
-10.94710000	0.999892	0.999891	-0.00000070	419603.500000
-10.85400000	0.998931	0.998931	-0.00000003	419200.500000
-10.76080000	0.999074	0.999074	-0.00000005	419260.500000
-10.66760000	0.999142	0.999142	-0.00000014	419289.000000
-10.57450000	0.999638	0.999638	-0.00000049	419497.000000
-10.48130000	0.998729	0.998728	-0.00000058	419115.500000
-10.38810000	0.999822	0.999821	-0.00000100	419574.000000
-10.29500000	1.000331	1.000331	-0.00000005	419788.000000
-10.20180000	0.997393	0.997393	-0.00000022	418555.000000
-10.10860000	0.998892	0.998892	-0.00000035	419184.000000
-10.01550000	0.999346	0.999346	-0.00000040	419374.500000
-9.92230000	1.000986	1.000985	-0.00000093	420062.500000
-9.82910000	1.000160	1.000159	-0.00000062	419716.000000
-9.73600000	0.999536	0.999535	-0.00000095	419454.000000
-9.64280000	0.999191	0.999191	-0.00000029	419309.500000
-9.54960000	0.999777	0.999777	-0.00000008	419555.500000
-9.45650000	0.998281	0.998280	-0.00000057	418927.500000
-9.36330000	0.999885	0.999884	-0.00000085	419600.500000
-9.27010000	1.000611	1.000611	-0.00000005	419905.500000
-9.17700000	0.998136	0.998135	-0.00000093	418866.500000
-9.08380000	0.999992	0.999991	-0.00000062	419645.500000
-8.99060000	0.998948	0.998948	-0.00000035	419207.500000
-8.89750000	0.999584	0.999584	-0.00000010	419474.500000
-8.80430000	0.999072	0.999072	-0.00000044	419259.500000
-8.71110000	0.999777	0.999777	-0.00000008	419555.500000
-8.61800000	0.999146	0.999145	-0.00000056	419290.500000
-8.52480000	0.999667	0.999666	-0.00000089	419509.000000
-8.43160000	0.997663	0.997662	-0.00000095	418668.000000
-8.33850000	0.998264	0.998264	-0.00000025	418920.500000
-8.24530000	0.999780	0.999779	-0.00000070	419556.500000
-8.15210000	0.998022	0.998022	-0.00000012	418819.000000
-8.05900000	0.998918	0.998918	-0.00000014	419195.000000
