# velocidad_mm/s	Normos_PLT_exp	Mio_norm_fp256.559647	diferencia_mio-Normos	Mio_cuentas_raw
-11.87880000	0.999818	0.999805	-0.00001259	419567.221247
-11.78560000	1.000161	1.000245	0.00008406	419751.721507
-11.69250000	1.001675	1.001514	-0.00016133	420284.091980
-11.59930000	0.999478	0.999483	0.00000546	419432.117466
-11.50610000	0.998777	0.998914	0.00013744	419193.327691
-11.41300000	1.000227	1.000127	-0.00010026	419702.068214
-11.31980000	1.000737	1.000671	-0.00006570	419930.592239
-11.22660000	0.999887	1.000054	0.00016681	419671.465839
-11.13350000	1.000274	1.000295	0.00002107	419772.708451
-11.04030000	1.000828	1.000752	-0.00007583	419964.529250
-10.94710000	0.999892	0.999831	-0.00006084	419578.030764
-10.85400000	0.998931	0.998953	0.00002213	419209.566332
-10.76080000	0.999074	0.999119	0.00004507	419279.199310
-10.66760000	0.999142	0.999147	0.00000532	419291.057819
-10.57450000	0.999638	0.999588	-0.00005039	419475.825343
-10.48130000	0.998729	0.998837	0.00010807	419160.861484
-10.38810000	0.999822	0.999829	0.00000674	419577.012170
-10.29500000	1.000331	1.000153	-0.00017837	419712.934349
-10.20180000	0.997393	0.997527	0.00013444	418611.276871
-10.10860000	0.998892	0.998887	-0.00000512	419181.763240
-10.01550000	0.999346	0.999372	0.00002617	419385.415387
-9.92230000	1.000986	1.001006	0.00002045	420071.238274
-9.82910000	1.000160	1.000156	-0.00000390	419714.389533
-9.73600000	0.999536	0.999438	-0.00009818	419412.962918
-9.64280000	0.999191	0.999234	0.00004270	419327.304606
-9.54960000	0.999777	0.999699	-0.00007806	419522.545076
-9.45650000	0.998281	0.998365	0.00008370	418962.632037
-9.36330000	0.999885	0.999846	-0.00003881	419584.335684
-9.27010000	1.000611	1.000507	-0.00010361	419861.808630
-9.17700000	0.998136	0.998323	0.00018660	418944.965526
-9.08380000	0.999992	0.999882	-0.00011014	419599.303459
-8.99060000	0.998948	0.999063	0.00011484	419255.605242
-8.89750000	0.999584	0.999638	0.00005440	419497.136007
-8.80430000	0.999072	0.999090	0.00001789	419266.955865
-8.71110000	0.999777	0.999684	-0.00009298	419516.282149
-8.61800000	0.999146	0.999100	-0.00004599	419271.204221
-8.52480000	0.999667	0.999622	-0.00004546	419490.062102
-8.43160000	0.997663	0.997744	0.00008091	418702.118039
-8.33850000	0.998264	0.998271	0.00000663	418923.154288
-8.24530000	0.999780	0.999706	-0.00007420	419525.423954
-8.15210000	0.998022	0.998080	0.00005843	418843.335944
-8.05900000	0.998918	0.998838	-0.00007988	419161.299489
-7.96580000	0.998134	0.998154	0.00002019	418874.290922
-7.87260000	0.999160	0.999086	-0.00007404	419265.304660
-7.77940000	0.997555	0.997577	0.00002198	418632.066332
-7.68630000	0.996516	0.996600	0.00008406	418222.102213
-7.59310000	0.997278	0.997311	0.00003338	418520.606497
-7.49990000	1.000196	1.000064	-0.00013229	419675.617833
-7.40680000	0.998441	0.998528	0.00008734	419031.302151
-7.31360000	0.998918	0.998877	-0.00004129	419177.493628
-7.22040000	0.997456	0.997479	0.00002266	418590.804920
-7.12730000	0.997334	0.997298	-0.00003570	418515.118093
-7.03410000	0.996929	0.996989	0.00005972	418385.200824
-6.94090000	0.998005	0.997924	-0.00008074	418777.799489
-6.84780000	0.998078	0.998074	-0.00000376	418840.740416
-6.75460000	0.996198	0.996269	0.00007072	418083.055050
-6.66140000	0.995052	0.995128	0.00007557	417604.172515
-6.56830000	0.997648	0.997541	-0.00010693	418616.996398
-6.47510000	0.996923	0.996982	0.00005947	418382.581531
-6.38190000	0.996890	0.996945	0.00005455	418366.665830
-6.28880000	0.999032	0.998798	-0.00023356	419144.649225
-6.19560000	0.996300	0.996312	0.00001236	418101.368223
-6.10240000	0.994839	0.995012	0.00017273	417555.560480
-6.00930000	0.998275	0.998218	-0.00005661	418901.230702
-5.91610000	0.998672	0.998617	-0.00005493	419068.535935
-5.82290000	0.996300	0.996392	0.00009238	418134.949440
-5.72980000	0.996319	0.996304	-0.00001501	418097.856367
-5.63660000	0.996777	0.996730	-0.00004748	418276.428811
-5.54340000	0.996247	0.996240	-0.00000661	418071.166771
-5.45030000	0.994884	0.994893	0.00000891	417505.698109
-5.35710000	0.994024	0.994155	0.00013119	417196.113756
-5.26390000	0.994626	0.994638	0.00001227	417398.838399
-5.17080000	0.994636	0.994684	0.00004796	417418.011542
-5.07760000	0.997406	0.997280	-0.00012556	418507.623004
-4.98440000	0.996488	0.996526	0.00003812	418191.074845
-4.89130000	0.997950	0.997869	-0.00008069	418754.739842
-4.79810000	0.997604	0.997675	0.00007101	418673.204167
-4.70490000	0.998254	0.998118	-0.00013616	418859.037190
-4.61180000	0.993501	0.993631	0.00012992	416976.106757
-4.51860000	0.995121	0.995057	-0.00006419	417574.479944
-4.42540000	0.994885	0.994831	-0.00005415	417479.655229
-4.33230000	0.991397	0.991601	0.00020369	416124.123156
-4.23910000	0.994751	0.994624	-0.00012685	417392.914240
-4.14590000	0.993199	0.993280	0.00008052	416828.640864
-4.05280000	0.994285	0.994262	-0.00002295	417240.956493
-3.95960000	0.993867	0.993922	0.00005523	417098.351770
-3.86640000	0.993771	0.993706	-0.00006540	417007.443122
-3.77330000	0.993358	0.993270	-0.00008788	416824.697849
-3.68010000	0.990832	0.990868	0.00003579	415816.560848
-3.58690000	0.991301	0.991138	-0.00016283	415930.025334
-3.49380000	0.987191	0.987177	-0.00001360	414267.893189
-3.40060000	0.981992	0.981879	-0.00011277	412044.521050
-3.30740000	0.972583	0.972792	0.00020918	408231.151151
-3.21430000	0.966974	0.967273	0.00029927	405915.146241
-3.12110000	0.970673	0.970717	0.00004359	407360.132664
-3.02790000	0.977960	0.977908	-0.00005174	410378.109580
-2.93480000	0.984714	0.984627	-0.00008708	413197.585554
-2.84160000	0.988554	0.988468	-0.00008612	414809.443436
-2.74840000	0.987740	0.987907	0.00016725	414574.174603
-2.65530000	0.992612	0.992396	-0.00021623	416457.777032
-2.56210000	0.991360	0.991491	0.00013077	416077.994462
-2.46890000	0.992040	0.991934	-0.00010633	416263.854279
-2.37580000	0.990186	0.990263	0.00007688	415562.709338
-2.28260000	0.991250	0.991179	-0.00007096	415947.176539
-2.18940000	0.988213	0.988192	-0.00002106	414693.642432
-2.09630000	0.986006	0.985923	-0.00008271	413741.606551
-2.00310000	0.982059	0.981939	-0.00011966	412069.747468
-1.90990000	0.975928	0.976077	0.00014859	409609.450327
-1.81680000	0.973940	0.974236	0.00029618	408837.125244
-1.72360000	0.978220	0.978232	0.00001196	410513.950695
-1.63040000	0.985088	0.984794	-0.00029412	413267.650166
-1.53730000	0.985145	0.985252	0.00010696	413459.884309
-1.44410000	0.987948	0.987876	-0.00007160	414561.229187
-1.35090000	0.988089	0.988110	0.00002081	414659.178627
-1.25780000	0.987558	0.987601	0.00004259	414445.483547
-1.16460000	0.988582	0.988426	-0.00015595	414791.888386
-1.07140000	0.986383	0.986429	0.00004557	413953.646662
-0.97830000	0.985222	0.985138	-0.00008391	413412.099552
-0.88510000	0.982092	0.982161	0.00006868	412162.630522
-0.79190000	0.981098	0.981048	-0.00004961	411695.862165
-0.69880000	0.976116	0.976057	-0.00005875	409601.335998
-0.60560000	0.968568	0.968391	-0.00017691	406384.239582
-0.51240000	0.956335	0.956340	0.00000539	401327.177113
-0.41930000	0.944142	0.944215	0.00007345	396238.956752
-0.32610000	0.931114	0.930971	-0.00014294	390680.965373
-0.23290000	0.912086	0.912594	0.00050802	382969.058804
-0.13980000	0.915689	0.916035	0.00034614	384413.120961
-0.04660000	0.935153	0.935042	-0.00011137	392389.177166
0.04660000	0.948348	0.948181	-0.00016679	397903.183278
0.13980000	0.954237	0.954218	-0.00001853	400436.716077
0.23290000	0.959514	0.959630	0.00011568	402707.522771
0.32610000	0.968979	0.968723	-0.00025609	406523.486424
0.41930000	0.971506	0.971488	-0.00001804	407683.835371
0.51240000	0.971192	0.971246	0.00005411	407582.344771
0.60560000	0.971158	0.971201	0.00004331	407563.543194
0.69880000	0.974390	0.974480	0.00008991	408939.405619
0.79190000	0.980389	0.980364	-0.00002544	411408.472318
0.88510000	0.984447	0.984438	-0.00000887	413118.361538
