# velocidad_mm/s	datos_norm	ajuste_norm	residuo	cuentas_dobladas
-11.87880000	0.99982160	0.99852379	0.00129781	419572.199322
-11.78563294	1.00017025	0.99852125	0.00164899	419718.506217
-11.69246588	1.00167062	0.99851866	0.00315195	420348.131959
-11.59929882	0.99948304	0.99851602	0.00096702	419430.120611
-11.50613176	0.99878882	0.99851332	0.00027550	419138.793865
-11.41296471	1.00022531	0.99851056	0.00171474	419741.611565
-11.31979765	1.00073723	0.99850775	0.00222948	419956.438854
-11.22663059	0.99990092	0.99850487	0.00139605	419605.485254
-11.13346353	1.00027984	0.99850193	0.00177791	419764.496033
-11.04029647	1.00082835	0.99849892	0.00232943	419994.678946
-10.94712941	0.99989274	0.99849585	0.00139689	419602.049272
-10.85396235	0.99893709	0.99849270	0.00044439	419201.016418
-10.76079529	0.99908138	0.99848948	0.00059190	419261.565113
-10.66762824	0.99914703	0.99848618	0.00066085	419289.117213
-10.57446118	0.99963953	0.99848280	0.00115673	419495.793892
-10.48129412	0.99873947	0.99847934	0.00026013	419118.083790
-10.38812706	0.99982630	0.99847578	0.00135052	419574.171573
-10.29496000	1.00032566	0.99847214	0.00185352	419783.724261
-10.20179294	0.99740530	0.99846840	-0.00106310	418558.205531
-10.10862588	0.99889624	0.99846456	0.00043168	419183.872594
-10.01545882	0.99935198	0.99846062	0.00089136	419375.121740
-9.92229176	1.00099115	0.99845656	0.00253459	420062.997732
-9.82912471	1.00016406	0.99845240	0.00171166	419715.908268
-9.73595765	0.99953437	0.99844811	0.00108626	419451.662528
-9.64279059	0.99919802	0.99844370	0.00075432	419310.514150
-9.54962353	0.99977734	0.99843916	0.00133818	419553.622888
-9.45645647	0.99829008	0.99843448	-0.00014439	418929.501121
-9.36328941	0.99988685	0.99842965	0.00145720	419599.579281
-9.27012235	1.00060991	0.99842467	0.00218524	419903.011340
-9.17695529	0.99815060	0.99841954	-0.00026893	418870.969396
-9.08378824	0.99999001	0.99841423	0.00157577	419642.868645
-8.99062118	0.99895907	0.99840875	0.00055032	419210.240075
-8.89745412	0.99959186	0.99840309	0.00118878	419475.789347
-8.80428706	0.99907747	0.99839722	0.00068024	419259.924686
-8.71112000	0.99977649	0.99839116	0.00138533	419553.266151
-8.61795294	0.99914771	0.99838487	0.00076284	419289.400912
-8.52478588	0.99966843	0.99837835	0.00129008	419507.921297
-8.43161882	0.99767157	0.99837159	-0.00070002	418669.943364
-8.33845176	0.99826899	0.99836456	-0.00009557	418920.651188
-8.24528471	0.99977998	0.99835727	0.00142271	419554.729908
-8.15211765	0.99803007	0.99834968	-0.00031961	418820.386175
-8.05895059	0.99891818	0.99834178	0.00057640	419193.080419
-7.96578353	0.99813989	0.99833355	-0.00019366	418866.472251
-7.87261647	0.99916039	0.99832497	0.00083542	419294.723113
-7.77944941	0.99756094	0.99831601	-0.00075508	418623.516418
-7.68628235	0.99652550	0.99830665	-0.00178115	418188.999422
-7.59311529	0.99728401	0.99829687	-0.00101286	418507.303506
-7.49994824	1.00019250	0.99828662	0.00190588	419727.845432
-7.40678118	0.99844997	0.99827589	0.00017408	418996.596251
-7.31361412	0.99892038	0.99826462	0.00065576	419194.002837
-7.22044706	0.99746208	0.99825278	-0.00079070	418582.030008
-7.12728000	0.99733607	0.99824032	-0.00090425	418529.152327
-7.03411294	0.99693641	0.99822720	-0.00129080	418361.435439
-6.94094588	0.99800432	0.99821336	-0.00020905	418809.580419
-6.84777882	0.99808252	0.99819874	-0.00011622	418842.399774
-6.75461176	0.99620662	0.99818327	-0.00197664	418055.183456
-6.66144471	0.99506071	0.99816687	-0.00310616	417574.304066
-6.56827765	0.99764653	0.99814945	-0.00050292	418659.436595
-6.47511059	0.99693043	0.99813093	-0.00120049	418358.928644
-6.38194353	0.99689794	0.99811118	-0.00121324	418345.291046
-6.28877647	0.99902266	0.99809009	0.00093258	419236.926420
-6.19560941	0.99630462	0.99806750	-0.00176289	418096.305774
-6.10244235	0.99485299	0.99804327	-0.00319028	417487.133045
-6.00927529	0.99827613	0.99801720	0.00025894	418923.646101
-5.91610824	0.99867300	0.99798906	0.00068394	419090.191967
-5.82294118	0.99630917	0.99795862	-0.00164945	418098.218560
-5.72977412	0.99632212	0.99792558	-0.00160346	418103.650059
-5.63660706	0.99677895	0.99788958	-0.00111063	418295.356745
-5.54344000	0.99625108	0.99785021	-0.00159913	418073.838619
-5.45027294	0.99488891	0.99780699	-0.00291807	417502.210644
