centro	tipo	n_pares	chi2	chi2_medio	factor_norm	RMS_vs_PLT	max_abs_vs_PLT	correlacion
250.0	entero	249	9414303376	37808447.293173	NA	NA	NA	NA
250.5	medio	250	9390622815	37562491.260000	NA	NA	NA	NA
251.0	entero	250	9298817501	37195270.004000	NA	NA	NA	NA
251.5	medio	251	9043149363	36028483.517928	NA	NA	NA	NA
252.0	entero	251	8630230147	34383387.039841	NA	NA	NA	NA
252.5	medio	252	8072151411	32032346.869048	NA	NA	NA	NA
253.0	entero	252	7430420795	29485796.805556	NA	NA	NA	NA
253.5	medio	253	6644355687	26262275.442688	NA	NA	NA	NA
254.0	entero	253	5634887799	22272283.790514	NA	NA	NA	NA
254.5	medio	254	4406923465	17350092.381890	NA	NA	NA	NA
255.0	entero	254	3092301343	12174414.736220	NA	NA	NA	NA
255.5	medio	255	1832259347	7185330.772549	NA	NA	NA	NA
256.0	entero	255	741381145	2907377.039216	NA	NA	NA	NA
256.5	medio	256	234035145	914199.785156	2.38294317453e-06	6.162172792e-05	0.0007597511967	0.9999887336
257.0	entero	255	593258072	2326502.243137	NA	NA	NA	NA
257.5	medio	255	1610196768	6314497.129412	NA	NA	NA	NA
258.0	entero	254	2928466388	11529395.228346	NA	NA	NA	NA
258.5	medio	254	4214450001	16592322.838583	NA	NA	NA	NA
259.0	entero	253	5460410591	21582650.557312	NA	NA	NA	NA
259.5	medio	253	6508900014	25726877.525692	NA	NA	NA	NA
260.0	entero	252	7336692496	29113859.111111	NA	NA	NA	NA
260.5	medio	252	7983099138	31678964.833333	NA	NA	NA	NA
261.0	entero	251	8484787643	33803934.832669	NA	NA	NA	NA
261.5	medio	251	8897573052	35448498.215139	NA	NA	NA	NA
262.0	entero	250	9218700894	36874803.576000	NA	NA	NA	NA
262.5	medio	250	9414168462	37656673.848000	NA	NA	NA	NA
263.0	entero	249	9422563396	37841620.064257	NA	NA	NA	NA
