sample	class	type	oxidation_state	T_K	IS_mm_s	IS_err	QS_mm_s	QS_err	Bhf_T	Bhf_err	site	site_total	model	reference	reference_url
Pyrite	Sulphides	S	2	295.0	0.33	0.01	0.61	0.01			1	1	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Marcasite	Sulphides	S	2	295.0	0.29	0.01	0.5	0.01			1	1	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Pyrrhotite	Sulphides	S	2	295.0	0.78	0.06	0.0		30.4	0.5	1	3	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Pyrrhotite	Sulphides	S	2	295.0	0.78	0.06	0.16	0.06	25.3	0.5	2	3	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Pyrrhotite	Sulphides	S	2	295.0	0.75	0.06	0.23	0.06	22.8	0.5	3	3	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Mackinawite	Sulphides	S	2	295.0	0.65	0.04	0.09	0.06	29.8	0.5	1	3	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Mackinawite	Sulphides	S	2	295.0	0.59	0.04	0.06	0.06	26.2	0.5	2	3	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Mackinawite	Sulphides	S	2	295.0	0.62	0.04	0.09	0.06	22.8	0.5	3	3	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Greigite	Sulphides	S		295.0	0.39	0.04	0.0		29.7	0.5	1	3	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Greigite	Sulphides	S		295.0	0.28	0.02	0.48	0.02	0.0		2	3	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Greigite	Sulphides	S		295.0	0.31	0.02	0.55	0.02	0.0		3	3	Unkn	Morice J. A. et al. 1969	https://www.sciencedirect.com/science/article/pii/002219026980299X
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.49		0.03		43.5		1	1	VBF	Wan Moli et al. 2017	https://www.sciencedirect.com/science/article/pii/S0016703717305380
Goethite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.48		-0.11		50.5		1	1	VBF	Wan Moli et al. 2017	https://www.sciencedirect.com/science/article/pii/S0016703717305380
FeSx		S		4.2	0.48		-0.02		27.8		1	1	VBF	Wan Moli et al. 2017	https://www.sciencedirect.com/science/article/pii/S0016703717305380
Greigite tetra	Sulphides	S	3	4.2	0.37		0.0		30.4		1	2	VBF	Wan Moli et al. 2017	https://www.sciencedirect.com/science/article/pii/S0016703717305380
Greigite oct	Sulphides	S	2.5	4.2	0.71		-0.015		32.0		2	2	VBF	Wan Moli et al. 2017	https://www.sciencedirect.com/science/article/pii/S0016703717305380
Pyrite	Sulphides	S	2	4.2	0.42		0.6				1	1	VBF	Wan Moli et al. 2017	https://www.sciencedirect.com/science/article/pii/S0016703717305380
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.8				VBF	Larese-Casanova et al. 2010	http://www.sciencedirect.com/science/article/pii/S0016703710001778
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.5				VBF	Larese-Casanova et al. 2010	http://www.sciencedirect.com/science/article/pii/S0016703710001778
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		42.9				VBF	Larese-Casanova et al. 2010	http://www.sciencedirect.com/science/article/pii/S0016703710001778
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.2				VBF	Larese-Casanova et al. 2010	http://www.sciencedirect.com/science/article/pii/S0016703710001778
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.1				VBF	Larese-Casanova et al. 2010	http://www.sciencedirect.com/science/article/pii/S0016703710001778
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.51		-0.2		49.3				VBF	Larese-Casanova et al. 2010	http://www.sciencedirect.com/science/article/pii/S0016703710001778
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.51		-0.2		49.8				VBF	Larese-Casanova et al. 2010	http://www.sciencedirect.com/science/article/pii/S0016703710001778
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		50.0				VBF	Larese-Casanova et al. 2010	http://www.sciencedirect.com/science/article/pii/S0016703710001778
Goethite	Hydroxides and Oxides containing hydroxyl	S	3	295.0	0.37		-0.26		38.0		1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Goethite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.48		-0.25		50.6		1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	S	3	294.0	0.37		0.53				1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.47		0.02		45.8		1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	295.0	0.38		0.55				1	2	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	295.0	0.37		0.95				2	2	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Schwertmannite	Hydroxides and Oxides containing hydroxyl	S	3	295.0	0.39		0.64				1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
δ-FeOOH		S	3	295.0	0.45		0.12		35.0		1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Feroxyhyte	Hydroxides and Oxides containing hydroxyl	S	3	295.0	0.37		-0.06		41.0		1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Ferrihydrite, 6-line	Simple Oxides	S	3	292.0	0.24		0.72				1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Ferrihydrite, 6-line	Simple Oxides	S	3	4.2	0.25		-0.06		50.0		1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Ferrihydrite,2-line	Simple Oxides	S	3	295.0	0.24		0.79				1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Hematite	Simple Oxides	S	3	295.0	0.37		-0.197		51.75		1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Hematite	Simple Oxides	S	3	4.2	0.49		0.41		54.17		1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Magnetite	Multiple Oxides	S	2	295.0	0.26		0.0		49.0		1	2	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Magnetite	Multiple Oxides	S	2.5	295.0	0.67		0.0		46.0		2	2	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Maghemite	Multiple Oxides	S	3	295.0	0.23		0.02		50.0		1	2	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Maghemite	Multiple Oxides	S	3	295.0	0.35		0.02		50.0		2	2	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Wuestite	Simple Oxides	S	2	295.0	0.95		0.44				1	2	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Wuestite	Simple Oxides	S	2	295.0	0.9		0.79				2	2	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Fe(OH)2		S	2	300.0	1.05		2.98				1	1	Unkn	Cornell and Schwertmann 2003	https://books.google.de/books?id=dlMuE3_klW4C
Nanomagnetite	Multiple Oxides	S	3	140.0	0.37		0.0		49.4		1	2	VBF	Byrne et al. 2016	https://www.nature.com/articles/srep30969
Nanomagnetite	Multiple Oxides	S	2.5	140.0	0.75		-0.01		47.2		2	2	VBF	Byrne et al. 2016	https://www.nature.com/articles/srep30969
Micromagnetite	Multiple Oxides	S	3	140.0	0.36		0.0		50.1		1	2	VBF	Byrne et al. 2016	https://www.nature.com/articles/srep30969
Micromagnetite	Multiple Oxides	S	2.5	140.0	0.76		0.0		47.8		2	2	VBF	Byrne et al. 2016	https://www.nature.com/articles/srep30969
Pyrite		E	2	295.0	0.36		0.54						VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Jarosite		E		295.0	0.38		1.31						VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Goethite		E	3	295.0	0.39		-0.25		19.2				VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Hematite		E	3	295.0	0.38		-0.21		47.9				VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Lake Sediment		E	3	295.0	0.36		0.97						VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Lake Sediment		E	2	295.0	1.29		2.29						VBF	Ruecker et al. 2016	http://europepmc.org/abstract/MED/27258848
Siderite		B		140.0	1.34		2.15						VBF	Sundman et al. 2017	https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1
Magnetite		B		140.0	0.36		0.01		49.2		1	2	VBF	Sundman et al. 2017	https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1
