serie,caso,version,parametro,verdadero,ajustado,sigma,z,abs_delta,chi2red,convergido,t_ajuste_s,nota
S0,S0_doblete_d+0.35_q+1.20,v0,s1_delta,0.35,0.35,2.43e-06,0.14,3.51e-07,,si,0.1,doblete con delta>0 y QUA>0
S0,S0_doblete_d+0.35_q+1.20,v0,s1_gamma1,0.25,0.250004,6.94e-06,0.64,4.47e-06,,si,0.1,doblete con delta>0 y QUA>0
S0,S0_doblete_d+0.35_q+1.20,v0,s1_quad,1.2,1.2,4.85e-06,0.22,1.08e-06,,si,0.1,doblete con delta>0 y QUA>0
S0,S0_doblete_d+0.35_q+1.20,v0,s1_depth,0.0212207,0.0212213,4.18e-07,1.56,6.5e-07,,si,0.1,doblete con delta>0 y QUA>0
S0,S0_sexteto_e+0.20_b33,v0,s1_delta,0,4.45849e-06,7.03e-05,0.06,4.46e-06,,si,0.1,sexteto con QUA=+0.20
S0,S0_sexteto_e+0.20_b33,v0,s1_gamma1,0.25,0.250066,0.000208,0.32,6.6e-05,,si,0.1,sexteto con QUA=+0.20
S0,S0_sexteto_e+0.20_b33,v0,s1_quad,0.2,0.199982,0.000141,-0.12,1.76e-05,,si,0.1,sexteto con QUA=+0.20
S0,S0_sexteto_e+0.20_b33,v0,s1_bhf,32.9874,32.9875,0.000484,0.06,3e-05,,si,0.1,sexteto con QUA=+0.20
S0,S0_sexteto_e+0.20_b33,v0,s1_depth,0.0106103,0.0106101,5.69e-06,-0.05,2.68e-07,,si,0.1,sexteto con QUA=+0.20
S0,S0_sexteto_e-0.20_b51.7,v0,s1_delta,0.26,0.260068,0.00011,0.62,6.79e-05,,si,3.9,sexteto tipo hematita con QUA=-0.20
S0,S0_sexteto_e-0.20_b51.7,v0,s1_gamma1,0.25,0.250021,0.000329,0.06,2.09e-05,,si,3.9,sexteto tipo hematita con QUA=-0.20
S0,S0_sexteto_e-0.20_b51.7,v0,s1_quad,-0.2,-0.200051,0.000221,-0.23,5.14e-05,,si,3.9,sexteto tipo hematita con QUA=-0.20
S0,S0_sexteto_e-0.20_b51.7,v0,s1_bhf,51.6803,51.6803,0.000758,-0.05,3.67e-05,,si,3.9,sexteto tipo hematita con QUA=-0.20
S0,S0_sexteto_e-0.20_b51.7,v0,s1_depth,0.0106103,0.010611,8.98e-06,0.08,7.05e-07,,si,3.9,sexteto tipo hematita con QUA=-0.20
S0,S0_singlete_d-0.44,v0,s1_delta,-0.44,-0.44,1.54e-07,-0.85,1.32e-07,,si,0.0,singlete con delta<0
S0,S0_singlete_d-0.44,v0,s1_gamma1,0.25,0.25,4.64e-07,-0.15,7.08e-08,,si,0.0,singlete con delta<0
S0,S0_singlete_d-0.44,v0,s1_depth,0.0424413,0.0424478,5.15e-08,125.60,6.47e-06,,si,0.0,singlete con delta<0
A1a,A1a_d-2.00,v0,s1_delta,-2,-2,1.49e-07,0.81,1.2e-07,,si,0.0,singlete barrido delta
A1a,A1a_d-2.00,v0,s1_gamma1,0.25,0.25,4.65e-07,0.47,2.19e-07,,si,0.0,singlete barrido delta
A1a,A1a_d-2.00,v0,s1_depth,0.0424413,0.0424445,4.98e-08,64.37,3.2e-06,,si,0.0,singlete barrido delta
A1a,A1a_d-1.00,v0,s1_delta,-1,-1,1.54e-07,0.46,7.04e-08,,si,0.0,singlete barrido delta
